关卡,关卡标签,关卡序号,是否前四关基准段,4月到达人数,4月流失人数,4月最终停留人数,4月最长停留人数,4月平均连续停留天数,4月归一化流失率,1月基线到达人数,1月基线流失人数,1月基线最终停留人数,1月基线最长停留人数,1月基线平均连续停留天数,1月基线归一化流失率,1.13到达人数,1.13流失人数,1.13最终停留人数,1.13最长停留人数,1.13平均连续停留天数,1.13归一化流失率,1.09到达人数,1.09流失人数,1.09最终停留人数,1.09最长停留人数,1.09平均连续停留天数,1.09归一化流失率,4月变化,优先级分,问题类型
108,1-08,8.0,False,174,7,7,11,1.0909090909090908,0.040229885057471264,213,8,8,7,1.2857142857142858,0.03755868544600939,106,3,3,5,1.2,0.02830188679245283,107,5,5,2,1.5,0.04672897196261682,0.0026711996114618733,14.113768819815444,长期卡点
107,1-07,7.0,False,181,6,7,10,1.0,0.03314917127071823,222,9,9,13,1.1538461538461537,0.04054054054054054,111,5,5,6,1.0,0.04504504504504504,111,4,4,7,1.2857142857142858,0.036036036036036036,-0.007391369269822312,11.99171270718232,长期卡点
105,1-05,5.0,False,194,4,4,7,1.0,0.020618556701030927,244,2,2,6,1.0,0.00819672131147541,123,1,1,4,1.0,0.008130081300813009,121,1,1,2,1.0,0.008264462809917356,0.012421835389555517,8.176271759337503,低样本观察
209,2-09,24.0,False,56,3,8,12,2.75,0.05357142857142857,91,2,6,6,2.5,0.02197802197802198,43,1,3,5,2.6,0.023255813953488372,48,1,3,1,2.0,0.020833333333333332,0.03159340659340659,8.292582417582418,低样本观察
115,1-15,15.0,False,90,3,6,10,2.7,0.03333333333333333,144,8,14,11,3.272727272727273,0.05555555555555555,71,4,7,5,4.6,0.056338028169014086,73,4,7,6,2.1666666666666665,0.0547945205479452,-0.02222222222222222,6.75,低样本观察
102,1-02,2.0,True,226,3,3,3,1.0,0.01327433628318584,271,7,8,12,1.1666666666666667,0.025830258302583026,135,3,4,6,1.3333333333333333,0.022222222222222223,136,4,4,6,1.0,0.029411764705882353,-0.012555922019397186,0.0,前四关基准段
203,2-03,18.0,False,81,2,2,1,3.0,0.024691358024691357,125,3,3,1,2.0,0.024,61,1,1,1,2.0,0.01639344262295082,64,2,2,0,0.0,0.03125,0.0006913580246913562,4.624938271604938,低样本观察
202,2-02,17.0,False,83,2,2,0,0.0,0.024096385542168676,127,1,2,1,2.0,0.007874015748031496,62,1,1,0,0.0,0.016129032258064516,65,0,1,1,2.0,0.0,0.01622236979413718,4.908784745280334,低样本观察
309,3-09,39.0,False,30,1,5,5,3.4,0.03333333333333333,56,1,4,3,5.0,0.017857142857142856,27,1,2,1,5.0,0.037037037037037035,29,0,2,2,5.0,0.0,0.015476190476190477,3.5595238095238093,低样本观察
302,3-02,32.0,False,37,1,3,0,0.0,0.02702702702702703,71,2,6,4,3.0,0.028169014084507043,32,1,1,1,2.0,0.03125,39,1,5,3,3.3333333333333335,0.02564102564102564,-0.0011419870574800144,2.9662162162162162,低样本观察
301,3-01,31.0,False,39,1,2,1,3.0,0.02564102564102564,73,1,2,2,4.0,0.0136986301369863,33,1,1,0,0.0,0.030303030303030304,40,0,1,2,4.0,0.0,0.01194239550403934,3.1426940639269407,低样本观察
214,2-14,29.0,False,48,1,3,2,3.5,0.020833333333333332,79,2,2,4,2.5,0.02531645569620253,37,2,2,0,0.0,0.05405405405405406,42,0,0,4,2.5,0.0,-0.004483122362869199,2.6875,低样本观察
207,2-07,22.0,False,57,1,1,1,2.0,0.017543859649122806,95,0,1,4,2.75,0.0,45,0,0,4,2.75,0.0,50,0,1,0,0.0,0.0,0.017543859649122806,2.890350877192983,低样本观察
205,2-05,20.0,False,63,1,4,2,2.5,0.015873015873015872,103,2,4,2,2.0,0.019417475728155338,50,2,3,2,2.0,0.04,53,0,1,0,0.0,0.0,-0.003544459855139466,2.4642857142857144,低样本观察
201,2-01,16.0,False,84,1,1,1,3.0,0.011904761904761904,130,0,3,0,0.0,0.0,64,0,2,0,0.0,0.0,66,0,1,0,0.0,0.0,0.011904761904761904,2.5238095238095237,低样本观察
101,1-01,1.0,True,227,1,1,1,1.0,0.004405286343612335,273,2,2,2,1.0,0.007326007326007326,136,1,1,1,1.0,0.007352941176470588,137,1,1,1,1.0,0.0072992700729927005,-0.002920720982394991,0.0,前四关基准段
206,2-06,21.0,False,59,0,2,0,0.0,0.0,99,1,4,1,2.0,0.010101010101010102,47,0,2,0,0.0,0.0,52,1,2,1,2.0,0.019230769230769232,-0.010101010101010102,0.0,无明显流失
210,2-10,25.0,False,48,0,0,2,3.5,0.0,85,0,3,6,5.0,0.0,40,0,1,1,3.0,0.0,45,0,2,5,5.4,0.0,0.0,0.0,无明显流失
215,2-15,30.0,False,45,0,6,4,5.0,0.0,77,0,4,6,4.333333333333333,0.0,35,0,2,2,6.5,0.0,42,0,2,4,3.25,0.0,0.0,0.0,无明显流失
303,3-03,33.0,False,34,0,0,2,4.5,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
304,3-04,34.0,False,34,0,3,0,0.0,0.0,65,0,4,5,4.4,0.0,31,0,2,3,4.333333333333333,0.0,34,0,2,2,4.5,0.0,0.0,0.0,无明显流失
305,3-05,35.0,False,31,0,0,1,3.0,0.0,61,0,2,0,0.0,0.0,29,0,1,0,0.0,0.0,32,0,1,0,0.0,0.0,0.0,0.0,无明显流失
308,3-08,38.0,False,31,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
310,3-10,40.0,False,25,0,0,1,6.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
311,3-11,41.0,False,25,0,1,0,0.0,0.0,52,0,1,0,0.0,0.0,0,0,0,0,,0.0,27,0,1,0,0.0,0.0,0.0,0.0,无明显流失
312,3-12,42.0,False,24,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
313,3-13,43.0,False,23,0,0,1,4.0,0.0,51,0,1,1,3.0,0.0,0,0,0,0,,0.0,26,0,1,1,3.0,0.0,0.0,0.0,无明显流失
314,3-14,44.0,False,23,0,2,1,6.0,0.0,50,1,9,10,3.4,0.02,25,0,3,3,3.6666666666666665,0.0,25,1,6,7,3.2857142857142856,0.04,-0.02,0.0,无明显流失
402,4-02,47.0,False,21,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
404,4-04,49.0,False,20,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
405,4-05,50.0,False,19,0,1,2,2.5,0.0,36,0,1,3,3.6666666666666665,0.0,20,0,0,1,3.0,0.0,16,0,1,2,4.0,0.0,0.0,0.0,无明显流失
408,4-08,53.0,False,18,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
409,4-09,54.0,False,17,0,3,4,4.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
412,4-12,57.0,False,14,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
414,4-14,59.0,False,13,0,1,1,4.0,0.0,34,0,0,1,3.0,0.0,19,0,0,1,3.0,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
501,5-01,61.0,False,12,0,1,1,4.0,0.0,34,0,1,1,4.0,0.0,19,0,0,1,4.0,0.0,15,0,1,0,0.0,0.0,0.0,0.0,无明显流失
502,5-02,62.0,False,11,0,0,1,3.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
505,5-05,65.0,False,11,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
506,5-06,66.0,False,10,0,0,1,5.0,0.0,33,0,1,1,3.0,0.0,19,0,1,1,3.0,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
508,5-08,68.0,False,10,0,1,0,0.0,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
509,5-09,69.0,False,9,0,1,1,3.0,0.0,31,0,2,1,4.0,0.0,17,0,1,1,4.0,0.0,14,0,1,0,0.0,0.0,0.0,0.0,无明显流失
511,5-11,71.0,False,8,0,1,1,6.0,0.0,28,0,2,3,4.666666666666667,0.0,16,0,1,1,6.0,0.0,12,0,1,2,4.0,0.0,0.0,0.0,无明显流失
512,5-12,72.0,False,7,0,0,1,4.0,0.0,26,0,0,1,2.0,0.0,15,0,0,1,2.0,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
514,5-14,74.0,False,7,0,2,1,2.0,0.0,26,0,4,5,3.2,0.0,15,0,2,3,4.0,0.0,11,0,2,2,2.0,0.0,0.0,0.0,无明显流失
601,6-01,76.0,False,5,0,1,1,3.0,0.0,22,0,0,1,4.0,0.0,0,0,0,0,,0.0,9,0,0,1,4.0,0.0,0.0,0.0,无明显流失
602,6-02,77.0,False,4,0,1,0,0.0,0.0,22,0,1,0,0.0,0.0,0,0,0,0,,0.0,9,0,1,0,0.0,0.0,0.0,0.0,无明显流失
603,6-03,78.0,False,3,0,1,0,0.0,0.0,21,0,1,0,0.0,0.0,13,0,1,0,0.0,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
607,6-07,82.0,False,2,0,0,1,3.0,0.0,16,0,2,2,5.0,0.0,10,0,1,2,5.0,0.0,6,0,1,0,0.0,0.0,0.0,0.0,无明显流失
612,6-12,87.0,False,2,0,1,0,0.0,0.0,13,0,1,0,0.0,0.0,0,0,0,0,,0.0,5,0,1,0,0.0,0.0,0.0,0.0,无明显流失
712,7-12,102.0,False,1,0,1,0,0.0,0.0,8,0,1,1,2.0,0.0,5,0,1,1,2.0,0.0,0,0,0,0,,0.0,0.0,0.0,无明显流失
